0.000872665	4
0.002617994	36
0.004363323	47
0.006108652	73
0.007853982	92
0.009599311	90
0.01134464	122
0.013089969	139
0.014835299	175
0.016580628	186
0.018325957	189
0.020071286	229
0.021816616	253
0.023561945	264
0.025307274	264
0.027052603	307
0.028797933	329
0.030543262	327
0.032288591	361
0.03403392	370
0.03577925	386
0.037524579	465
0.039269908	425
0.041015237	475
0.042760567	504
0.044505896	536
0.046251225	499
0.047996554	507
0.049741884	537
0.051487213	559
0.053232542	590
0.054977871	586
0.056723201	599
0.05846853	667
0.060213859	645
0.061959188	716
0.063704518	694
0.065449847	717
0.067195176	700
0.068940505	727
0.070685835	795
0.072431164	772
0.074176493	818
0.075921822	880
0.077667152	807
0.079412481	911
0.08115781	921
0.082903139	938
0.084648469	924
0.086393798	970
0.088139127	970
0.089884456	1011
0.091629786	1020
0.093375115	1011
0.095120444	1055
0.096865773	1013
0.098611103	1087
0.100356432	1086
0.102101761	1174
0.10384709	1191
0.10559242	1119
0.107337749	1239
0.109083078	1269
0.110828408	1164
0.112573737	1183
0.114319066	1214
0.116064395	1284
0.117809725	1278
0.119555054	1289
0.121300383	1355
0.123045712	1402
0.124791042	1311
0.126536371	1391
0.1282817	1445
0.130027029	1452
0.131772359	1436
0.133517688	1499
0.135263017	1468
0.137008346	1533
0.138753676	1445
0.140499005	1501
0.142244334	1608
0.143989663	1575
0.145734993	1613
0.147480322	1574
0.149225651	1672
0.15097098	1636
0.15271631	1723
0.154461639	1623
0.156206968	1718
0.157952297	1722
0.159697627	1683
0.161442956	1703
0.163188285	1737
0.164933614	1868
0.166678944	1832
0.168424273	1793
0.170169602	1878
0.171914931	1895
0.173660261	1826
0.17540559	1920
0.177150919	1953
0.178896248	1878
0.180641578	1994
0.182386907	1920
0.184132236	2055
0.185877565	1966
0.187622895	2056
0.189368224	2028
0.191113553	2043
0.192858882	2059
0.194604212	2085
0.196349541	2153
0.19809487	2110
0.199840199	2136
